,First Row Mean,Second Row Mean
Causal_GI,0.0269299820466786,0.0234561357010336
Ought_GI,0.0053859964093357,0.0039756162205141
Perceiv_GI,0.0233393177737881,0.0189504373177842
Compare_GI,0.0152603231597845,0.010866684336072
Eval_2_GI,0.0053859964093357,0.0022528491916247
Eval_GI,0.0233393177737881,0.0210707659687251
Solve_GI,0.052064631956912,0.0654651470978001
Abs_2_GI,0.0368043087971274,0.0230585740789822
Abs_GI,0.0502692998204667,0.0322024913861648
Quality_GI,0.0251346499102333,0.0213358070500927
Quan_GI,0.0763016157989228,0.0665253114232706
Numb_GI,0.0026929982046678,0.0050357805459846
Ord_GI,0.0008976660682226,0.0015902464882056
Card_GI,0.0017953321364452,0.0034455340577789
Freq_GI,0.011669658886894,0.0083487940630797
Dist_GI,0.0,0.0003975616220514
Time_2_GI,0.0359066427289048,0.0344553405777895
Time_GI,0.0134649910233393,0.0091439173071826
Space_GI,0.0583482944344703,0.0522130930294195
Pos_GI,0.0035906642728904,0.0025178902729923
Dim_GI,0.0098743267504488,0.0033130135170951
Rel_GI,0.0224416517055655,0.037503313013517
Color_GI,0.0,0.0
Self_GI,0.0305206463195691,0.0597667638483965
Our_GI,0.0053859964093357,0.001987808110257
You_GI,0.0008976660682226,0.0053008216273522
Name_GI,0.0053859964093357,0.0010601643254704
Yes_GI,0.0035906642728904,0.0051683010866684
No_GI,0.0008976660682226,0.0023853697323085
Negate_GI,0.0143626570915619,0.0169626292075271
Intrj_GI,0.0080789946140035,0.0178902729923138
Iav_GI,0.1795332136445242,0.1736019082957858
Dav_GI,0.0547576301615798,0.0811025708984892
Sv_GI,0.0897666068222621,0.10654651470978
Ipadj_GI,0.0,0.0007951232441028
Indadj_GI,0.0026929982046678,0.0034455340577789
Powgain_Lasswell,0.0062836624775583,0.0049032600053008
Powloss_Lasswell,0.0026929982046678,0.0063609859528226
Powends_Lasswell,0.0017953321364452,0.0014577259475218
Powaren_Lasswell,0.0080789946140035,0.0005300821627352
Powcon_Lasswell,0.0053859964093357,0.006095944871455
Powcoop_Lasswell,0.0026929982046678,0.0023853697323085
Powaupt_Lasswell,0.0080789946140035,0.0037105751391465
Powpt_Lasswell,0.0026929982046678,0.0011926848661542
Powdoct_Lasswell,0.0008976660682226,0.0009276437847866
Powauth_Lasswell,0.0,0.0010601643254704
Powoth_Lasswell,0.018850987432675,0.0147097800159024
Powtot_Lasswell,0.0565529622980251,0.0405512854492446
Rcethic_Lasswell,0.0251346499102333,0.0204081632653061
Rcrelig_Lasswell,0.0,0.0005300821627352
Rcgain_Lasswell,0.0089766606822262,0.0043731778425655
Rcloss_Lasswell,0.0,0.0
Rcends_Lasswell,0.0017953321364452,0.0025178902729923
Rctot_Lasswell,0.0341113105924596,0.027299231380864
Rspgain_Lasswell,0.0053859964093357,0.0043731778425655
Rsploss_Lasswell,0.0044883303411131,0.0046382189239332
Rspoth_Lasswell,0.0197486535008976,0.0103366021733368
Rsptot_Lasswell,0.0287253141831238,0.0192154783991518
Affgain_Lasswell,0.0143626570915619,0.0182878346143652
Affloss_Lasswell,0.0,0.000662602703419
Affpt_Lasswell,0.0125673249551166,0.0145772594752186
Affoth_Lasswell,0.0161579892280071,0.0169626292075271
Afftot_Lasswell,0.0314183123877917,0.0398886827458256
Wltpt_Lasswell,0.0035906642728904,0.0015902464882056
Wlttran_Lasswell,0.0053859964093357,0.001987808110257
Wltoth_Lasswell,0.0134649910233393,0.0194805194805194
Wlttot_Lasswell,0.0224416517055655,0.0227935329976146
Wlbgain_Lasswell,0.0026929982046678,0.0033130135170951
Wlbloss_Lasswell,0.0017953321364452,0.0086138351444473
Wlbphys_Lasswell,0.0071813285457809,0.0178902729923138
Wlbpsyc_Lasswell,0.0053859964093357,0.0115292870394911
Wlbpt_Lasswell,0.0008976660682226,0.0011926848661542
Wlbtot_Lasswell,0.0170556552962298,0.0397561622051418
Enlgain_Lasswell,0.0385996409335727,0.0237211767824012
Enlloss_Lasswell,0.0,0.0011926848661542
Enlends_Lasswell,0.0008976660682226,0.0023853697323085
Enlpt_Lasswell,0.0,0.0010601643254704
Enloth_Lasswell,0.0655296229802513,0.0588391200636098
Enltot_Lasswell,0.0906642728904847,0.0746090644049827
Sklasth_Lasswell,0.0008976660682226,0.0010601643254704
Sklpt_Lasswell,0.0008976660682226,0.0029154518950437
Skloth_Lasswell,0.0269299820466786,0.0141796978531672
Skltot_Lasswell,0.0278276481149012,0.0172276702888947
Trngain_Lasswell,0.0215439856373429,0.0094089583885502
Trnloss_Lasswell,0.0098743267504488,0.0094089583885502
Tranlw_Lasswell,0.0197486535008976,0.0245163000265041
Meanslw_Lasswell,0.0053859964093357,0.0103366021733368
Endslw_Lasswell,0.0475763016157989,0.0363106281473628
