Feature,Mean Difference,Std Group 1,Std Group 2,Significant
Relig_GI,-0.0006175294004241313,0.0,0.0016455393848730968,False
Role_GI,0.01660896041103025,0.03581322329029627,0.016283153386367957,False
Coll_GI,0.008213646319329537,0.021900759175378537,0.005544159724306686,False
Work_GI,0.025903016110838797,0.027919660366571192,0.013599117780183247,True
Ritual_GI,-0.003158730192823811,0.006019156320486463,0.005223680808509692,False
Socrel_GI,-0.001345714303776474,0.02587164566685614,0.017531854757054228,False
Race_GI,0.0,0.0,0.0,False
Kin_2_GI,-0.00893258928708912,0.005873329546872273,0.01000804561504107,True
Male_GI,0.005411645675713921,0.01295080797374585,0.008525617597517755,False
Female_GI,-0.003861360900489469,0.03359658637986268,0.015197583868443242,False
Nonadlt_GI,0.0007210811964636638,0.0036394163627482138,0.0018882111080659252,False
Hu_GI,0.02441002469292558,0.048385059781524346,0.016244225949082376,False
Ani_GI,0.0006587221319754737,0.0025210084033613395,0.000486412276165036,False
Place_GI,0.018389628430755606,0.03286762533775226,0.007340538559431024,False
Social_GI,0.021070266706573935,0.03502047340351825,0.0036053898482655456,False
Region_GI,0.010235462540238043,0.018350494703891714,0.004754847426386342,False
Route_GI,-3.872366790581875e-05,0.0,0.00014997612090330266,False
Aquatic_GI,0.0,0.0,0.0,False
Land_GI,0.0007145118890370249,0.003998415213289258,0.002499211822969586,False
Sky_GI,-0.00023523975459081249,0.0,0.0006231382950401622,False
Object_GI,-0.018291681040345606,0.014046005608439948,0.015352651328587747,True
Tool_GI,-0.006677093592935713,0.009294032714658658,0.008944271659763723,False
Food_GI,0.00026617533199979236,0.0025210084033613395,0.0010756935677333462,False
Vehicle_GI,-3.872366790581875e-05,0.0,0.00014997612090330266,False
Bldgpt_GI,-0.0017067628804467224,0.0030693785206083275,0.003636376515725435,False
Comnobj_GI,-0.006582213805791614,0.006097484864558833,0.008872678050267858,True
Natobj_GI,-0.007323490468945164,0.003753956918683465,0.008722844373490808,True
Bodypt_GI,-0.0033964769023686185,0.0,0.004174799355042696,True
Comform_GI,-0.01104750337323504,0.014850946008563359,0.014773594497529829,False
Com_GI,-0.008030466647741395,0.012519504910128968,0.013647889101664317,False
Say_GI,-0.000569933291489825,0.0,0.0012106223762016885,False
Need_GI,-0.005004876403909498,0.012321857891379516,0.00587230183101645,False
Goal_GI,-0.0028340684007093692,0.005428325804340814,0.0036766217640574056,False
Try_GI,0.00034785108394757604,0.014140580067414449,0.005447693263383117,False
Means_GI,-0.0015770809404629868,0.01689255897032239,0.013941190329795386,False
Persist_GI,0.004162284853778714,0.011735262460447123,0.005641736086982648,False
Complet_GI,-0.007623642173185766,0.010544062537435233,0.010912535497529146,False
Fail_GI,-0.01012345006653967,0.005549394887048535,0.00921332262449933,True
Natrpro_GI,-0.011258641981040455,0.008269847282609152,0.010533860001626738,True
Begin_GI,-0.0028632910821832927,0.008533128271005067,0.005104333089427577,False
Vary_GI,-0.005458888934047867,0.005375200091429867,0.009079977257568636,False
Increas_GI,-0.0020131633951474288,0.019915493786674794,0.008406356500730214,False
Decreas_GI,-0.0008057585160254112,0.00160427807486631,0.0014693110605092541,False
Finish_GI,0.0015016778025143378,0.008385507477363224,0.0030340883648825047,False
Stay_GI,-0.0015235345156227639,0.0026548672566371395,0.002491007385817569,False
Rise_GI,-2.2877424897163818e-05,0.0025210084033613395,0.001154327563618423,False
Exert_GI,0.0019235839581778396,0.007344078425146503,0.005061383801579265,False
Fetch_GI,-0.006793615370485666,0.008905566866536067,0.006934219242289677,True
Travel_GI,-0.0051983480662752424,0.008245723026866271,0.006695840864230572,False
Fall_GI,0.0002944982221841251,0.002945428924881174,0.0020950360768126762,False
Think_GI,-0.00040178571428570626,0.0,0.0011955805748663233,False
Know_GI,0.008719072806345457,0.02765884973590174,0.0130871070719733,False
Causal_GI,0.0003752409299491999,0.01647358812159575,0.009136685654576026,False
Ought_GI,2.1481207642052268e-05,0.007068675868940524,0.004520659309437521,False
Perceiv_GI,0.0014483726507187288,0.013598953410365128,0.010182411624471798,False
Compare_GI,0.001267751579961068,0.013215142381602561,0.007476863062956634,False
Eval_2_GI,0.009080919284079551,0.018236656693820425,0.0023540378279238586,False
Eval_GI,0.005866665296491495,0.0137309241072088,0.007863588635241938,False
Solve_GI,-0.018081399655700756,0.0209720129672484,0.02122029647133461,True
Abs_2_GI,0.01838516773416323,0.029164578349445185,0.010925289234012243,False
Abs_GI,0.022836169597096057,0.026182868627399696,0.012548135630312759,True
Quality_GI,0.0074466907174412685,0.016461866536867736,0.009629231833372429,False
Quan_GI,0.013354767303008497,0.03910204089645893,0.016411776601609956,False
Numb_GI,-0.0013238647684264016,0.005549382442938116,0.0038771333829393786,False
Ord_GI,-0.0011906440569495686,0.00215827338129495,0.0032529105678534005,False
Card_GI,-0.0001332207114768196,0.004328935060795961,0.0025257713974702867,False
Freq_GI,0.0029088210897702483,0.008374188555582954,0.005427646218339766,False
Dist_GI,-0.0007539782043179063,0.0,0.0020523485902174173,False
Time_2_GI,0.006803276122722975,0.02845717052824022,0.010953510233489231,False
Time_GI,0.004810637364324896,0.009584255009164735,0.005837691999296582,False
Space_GI,0.01987394507822697,0.059635956866629036,0.015338630423328265,False
Pos_GI,0.005649288293420173,0.018630223574229197,0.0038435866152851,False
Dim_GI,0.010424071328779896,0.017584895900446977,0.0028303661300167235,False
Rel_GI,-0.012873873876273562,0.021358765586213524,0.012317775526304149,False
Color_GI,0.0,0.0,0.0,False
Self_GI,-0.025816598336501264,0.02253059156251225,0.02080720327435729,True
Our_GI,0.0022936996820177033,0.005032516634307758,0.0027915652816412856,False
You_GI,-0.003441562021390426,0.00399999999999999,0.006056050881804884,False
Name_GI,0.003948609965031208,0.00709540424462483,0.0013121586326306821,False
Yes_GI,0.003185418515557567,0.01845132182887087,0.0063971765951723256,False
No_GI,-0.002212883287558664,0.0025210084033613395,0.0054885609143059955,False
Negate_GI,-0.005395375863666618,0.008080642737189966,0.00814539857824446,False
Intrj_GI,-0.005606066629481802,0.019433120291347358,0.009476953035554134,False
Iav_GI,0.008631560251292053,0.029111677312254346,0.022247204322582908,False
Dav_GI,-0.02879777392867395,0.024976750864538266,0.015036917051621747,True
Sv_GI,-0.01781968901439593,0.02975333460519394,0.023817360390379298,False
Ipadj_GI,-0.0011094527818727251,0.0,0.002925678259693122,False
Indadj_GI,-0.0008519815009450371,0.004260991058923044,0.0031155811678183895,False
Powgain_Lasswell,0.0022094986867956593,0.006659270261736606,0.005708857845676103,False
Powloss_Lasswell,0.00011380960696107806,0.018911157732834517,0.006154360466266347,False
Powends_Lasswell,0.0010212516318841912,0.0045484544786624235,0.002176631066917657,False
Powaren_Lasswell,0.011174045389369664,0.017922982362413284,0.001033590841274645,False
Powcon_Lasswell,-0.002825883963494561,0.0061640916714756485,0.004194194190313893,False
Powcoop_Lasswell,3.0797679196687116e-05,0.005619085582847773,0.003664734032399186,False
Powaupt_Lasswell,0.002635631342726697,0.0071995673641200375,0.0022317045951009743,False
Powpt_Lasswell,0.0009399784933565288,0.003437559926085671,0.0017646922457705161,False
Powdoct_Lasswell,-0.0005771555344185062,0.00215827338129495,0.002345421505784121,False
Powauth_Lasswell,-0.0008911353851296063,0.0,0.0012592889033522525,True
Powoth_Lasswell,0.006076785447260587,0.01637740673901751,0.006539264497573303,False
Powtot_Lasswell,0.021063603428830714,0.025573879917638143,0.010916405747849474,True
Rcethic_Lasswell,0.006834209573490797,0.017748895152822766,0.008451832812411908,False
Rcrelig_Lasswell,-0.0007191766566766438,0.0,0.001372931244807901,True
Rcgain_Lasswell,0.010126845607531455,0.01769190639358036,0.003472154875215728,False
Rcloss_Lasswell,0.0,0.0,0.0,False
Rcends_Lasswell,-0.0009904243588282214,0.005042016806722679,0.003720674190847212,False
Rctot_Lasswell,0.007924960936002187,0.020325291041760396,0.010831420151605271,False
Rspgain_Lasswell,0.00038265641659738364,0.006259975221378714,0.0036478673634356834,False
Rsploss_Lasswell,0.003698806842678627,0.01856921360328603,0.006441391370732994,False
Rspoth_Lasswell,0.013046364613318037,0.01761368429920415,0.006819593658367764,True
Rsptot_Lasswell,0.016391658404806858,0.03232151146681052,0.008674507949019162,False
Affgain_Lasswell,-0.0036137348887580224,0.010934911937601117,0.006385496584369509,False
Affloss_Lasswell,-0.00035804731203781877,0.0,0.0007471313798252502,False
Affpt_Lasswell,0.0008029785616393403,0.013113686665106965,0.009823714897311675,False
Affoth_Lasswell,-0.001276755471922606,0.01236286581889802,0.007930186830770378,False
Afftot_Lasswell,-0.005072188051596413,0.021976598054551662,0.015039621095316112,False
Wltpt_Lasswell,0.0010243726367950667,0.00480902572899144,0.0025143637642859092,False
Wlttran_Lasswell,0.0026368684343910974,0.005541072120467287,0.001996957024973975,False
Wltoth_Lasswell,-0.005194778132200468,0.015864970391730293,0.0102003376098025,False
Wlttot_Lasswell,-0.0013445431887451793,0.018338343029812354,0.010507504713916637,False
Wlbgain_Lasswell,-0.0014372490932226811,0.004260991058923044,0.003327859255474442,False
Wlbloss_Lasswell,-0.006401673490342902,0.005146496066117006,0.008593933624508032,True
Wlbphys_Lasswell,-0.013355173594301245,0.008334046119997794,0.00765940712471459,True
Wlbpsyc_Lasswell,-0.007262782472350404,0.005931192584446959,0.008816168100901457,True
Wlbpt_Lasswell,5.4248333957661126e-05,0.0025210084033613395,0.0012748441939328225,False
Wlbtot_Lasswell,-0.02650342702400207,0.014378548340010318,0.013407346654975718,True
Enlgain_Lasswell,0.010901557604955751,0.01992721703908013,0.0089769654701908,False
Enlloss_Lasswell,-0.0012376505262128813,0.0,0.0023975506950010346,True
Enlends_Lasswell,-0.0015704655590171252,0.00215827338129495,0.0034319362881696167,False
Enlpt_Lasswell,-0.0010249988763368436,0.0,0.0021517114453704017,False
Enloth_Lasswell,0.006033894902264303,0.02973710854951069,0.020391915121900646,False
Enltot_Lasswell,0.014817683067609777,0.03513396812690754,0.021707855564445332,False
Sklasth_Lasswell,-0.00010147953830340491,0.00160427807486631,0.0013448358737449344,False
Sklpt_Lasswell,-0.0020539166418458736,0.00160427807486631,0.003018191584728128,True
Skloth_Lasswell,0.009601628024439294,0.015542232508779246,0.007366660867975621,False
Skltot_Lasswell,0.007996316773527842,0.016078604299916286,0.008130000772411263,False
Trngain_Lasswell,0.015525789583653363,0.018386052614990687,0.004287650146500965,True
Trnloss_Lasswell,-0.0013440338666069439,0.007640321556152158,0.0055959759139816885,False
Tranlw_Lasswell,-0.010044863365167547,0.012313801573444003,0.009702728243589814,True
Meanslw_Lasswell,-0.003386909805993304,0.009397818878336368,0.0054333482945098,False
Endslw_Lasswell,0.0128374664275498,0.021657595120799424,0.01158060025431651,False
