,Mean_Group1,Mean_Group2,Std_Group1,Std_Group2,Cluster_KMeans
Socrel_GI,0.069608491298326,0.07095420560210247,0.027271109041363737,0.01810682173391955,0
Race_GI,0.0,0.0,0.0,0.0,0
Kin_2_GI,0.00430129539764095,0.013233884684730069,0.006191032938960354,0.010336265065370194,0
Male_GI,0.01205543908492274,0.006643793409208819,0.01365135024550234,0.008805219992351775,0
Female_GI,0.03207576615215507,0.03593712705264454,0.035413911522319,0.015695997126685644,0
Nonadlt_GI,0.00234640989908852,0.0016253287026248562,0.003836281686656645,0.0019501360468435153,0
Hu_GI,0.07895440651866455,0.054544381825738966,0.05100233121100866,0.016776964419420375,0
Ani_GI,0.0008403361344537799,0.00018161400247830624,0.0026573761850154395,0.0005023644386608073,0
Place_GI,0.03137351529133643,0.012983886860580825,0.034645519116119385,0.007581275624765263,0
Social_GI,0.025090955371881773,0.004020688665307838,0.036914820230822216,0.003723630623711399,0
Region_GI,0.013360948260032729,0.0031254857197946873,0.019343119818384977,0.004910785305640399,0
Route_GI,0.0,3.872366790581875e-05,0.0,0.00015489467162327502,0
Aquatic_GI,0.0,0.0,0.0,0.0,0
Land_GI,0.00255817394623995,0.0018436620572029252,0.004214699701687335,0.0025811748717349025,0
Sky_GI,0.0,0.00023523975459081249,0.0,0.0006435744637532352,0
Object_GI,0.0170104572640526,0.035302138304398205,0.014805789916723136,0.01585615011086654,0
Tool_GI,0.009710963380425399,0.016388056973361112,0.009796770675479717,0.009237604048591965,0
Food_GI,0.0008403361344537799,0.0005741608024539876,0.0026573761850154395,0.0011109715395876505,0
Vehicle_GI,0.0,3.872366790581875e-05,0.0,0.00015489467162327502,0
Bldgpt_GI,0.00150607376463474,0.0032128366450814624,0.0032354090421067945,0.0037556335162518303,0
Comnobj_GI,0.00304312699572961,0.009625340801521224,0.006427313390136403,0.009163662486652669,0
Natobj_GI,0.0024447163470978097,0.009768206816042974,0.003957018033729082,0.009008914930690391,0
Bodypt_GI,0.0,0.0033964769023686185,0.0,0.004311714233556752,0
Comform_GI,0.028068381964115513,0.03911588533735055,0.015654271598415554,0.015258102787347882,0
Com_GI,0.019429854888574242,0.027460321536315637,0.013196716897889722,0.01409547925376843,0
Say_GI,0.0,0.000569933291489825,0.0,0.0012503254137533842,0
Need_GI,0.020569253739490957,0.025574130143400455,0.012988378647226297,0.006064887252114674,0
Goal_GI,0.00239102951684713,0.005225097917556499,0.005721957807727501,0.0037971986299994848,0
Try_GI,0.01334716322911845,0.012999312145170874,0.014905480149668996,0.005626353409154439,0
Means_GI,0.03732097971593602,0.03889806065639901,0.017806320618309154,0.01439839945962811,0
Persist_GI,0.01010346187721357,0.005941177023434856,0.012370052771628181,0.005826759975621653,0
Complet_GI,0.01335055759105013,0.020974199764235896,0.01111441780318325,0.01127041819915404,0
Fail_GI,0.00253914227365553,0.0126625923401952,0.005849575826255404,0.009515478690112511,0
Natrpro_GI,0.00855165525386742,0.019810297234907875,0.008717184438266367,0.01087932382868821,0
Begin_GI,0.00471483418992282,0.007578125272106113,0.008994706967583517,0.00527173254635959,0
Vary_GI,0.00577469733839279,0.011233586272440657,0.0056659583893545655,0.00937776018733478,0
Increas_GI,0.012645829234703901,0.01465899262985133,0.020992773697607953,0.008682047661229488,0
Decreas_GI,0.0005347593582887701,0.0013405178743141812,0.0016910575722825557,0.0015174979380668534,0
Finish_GI,0.0062459613280517,0.004744283525537362,0.008839100988280208,0.0031335929888297686,0
Stay_GI,0.00088495575221238,0.002408490267835144,0.0027984758054587127,0.002572701365480298,0
Rise_GI,0.0008403361344537799,0.0008632135593509438,0.0026573761850154395,0.0011921843813232896,0
Exert_GI,0.0070313275857000895,0.00510774362752225,0.00774133837945512,0.005227374712608126,0
Fetch_GI,0.00626767141423811,0.013061286784723776,0.009387291717727574,0.007161630838490382,0
Travel_GI,0.00795802237428747,0.013156370440562712,0.008691755239931733,0.0069154347082720224,0
Fall_GI,0.0014197151105011501,0.001125216888317025,0.0031047546962551685,0.0021637439560531248,0
Think_GI,0.0,0.00040178571428570626,0.0,0.0012347903081350291,0
Know_GI,0.04817135709089905,0.03945228428455359,0.02915498754193205,0.013516306063942907,0
Causal_GI,0.022905347518924733,0.022530106588975533,0.017364686566579142,0.009436328367921378,0
Ought_GI,0.00426345076660629,0.004241969558964238,0.0074510385957739745,0.004668916858487745,0
Perceiv_GI,0.02062038741695164,0.01917201476623291,0.014334555523756079,0.010516349505548823,0
Compare_GI,0.01258478070070045,0.011317029120739381,0.01392998317642871,0.0077220709665878455,0
Eval_2_GI,0.010999672978761902,0.00191875369468235,0.019223124019676154,0.002431239814371036,0
Eval_GI,0.02608373811274854,0.020217072816257044,0.014473664852564613,0.008121479420191452,0
Solve_GI,0.04808849314923776,0.06616989280493851,0.022106442698363732,0.02191622795601679,0
